date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
3/7/2016,1084465,1084953,2145854,2146870
3/8/2016,1084953,1085633,2146870,2147954
3/9/2016,1085633,1086303,2147954,2149130
3/10/2016,1086303,1086910,2149130,2150118
3/11/2016,1086910,1087486,2150118,2151122
3/12/2016,1087486,1087728,2151122,2151548
3/13/2016,1087728,1088308,2151548,2152904
3/14/2016,1088308,1092996,2153141,2160898
3/15/2016,1092996,1098135,2161249,2169614
3/16/2016,1098135,1103123,2169972,2178314
3/17/2016,1103123,1107989,2178732,2186498
3/18/2016,1107989,1110831,2186779,2191332
3/19/2016,1110831,1111624,2191332,2192829
3/20/2016,1111624,1112850,2192829,2195815
3/21/2016,1112850,1118306,2196100,2205074
3/22/2016,1118306,1123788,2205478,2214630
3/23/2016,1123788,1129028,2215000,2223814
3/24/2016,1129028,1133019,2224163,2230656
3/25/2016,,,,
3/26/2016,1133019,1133362,2230656,2231389
3/27/2016,1133362,1134027,2231389,2232702
3/28/2016,1134027,1139372,2232926,2241774
3/29/2016,1139372,1144747,2242158,2251288
3/30/2016,1144747,1149826,2251673,2260248
3/31/2016,1149826,1154472,2260675,2268395
4/1/2016,1154472,1157161,2268762,2273222
4/2/2016,1157161,1157747,2273222,2274458
4/3/2016,1157747,1159148,2274458,2277525
4/4/2016,1159148,1164316,2277888,2286966
4/5/2016,1164316,1169508,2287388,2296086
4/6/2016,1169508,1174739,2296478,2305422
4/7/2016,1174739,1179579,2305912,2313854
4/8/2016,1179579,1182310,2314070,2318563
4/9/2016,1182310,1185123,2318563,2321011
4/10/2016,1185123,1186339,2321011,2324001
4/11/2016,1186339,1191196,2324276,2333100
4/12/2016,1191196,1196826,2333633,2342458
4/13/2016,1196826,1202093,2342911,2351382
4/14/2016,1202093,1203948,2351755,2360083
4/15/2016,1203948,1209779,2360272,2365101
4/16/2016,1209779,1210521,2365101,2366366
4/17/2016,1210521,1211872,2366366,2369313
4/18/2016,1211872,1217681,2369646,2379084
4/19/2016,1217681,1223781,2379480,2389646
4/20/2016,1223781,1229837,2390198,2399968
4/21/2016,1229837,1235566,2400520,2409421
4/22/2016,1235566,1238991,2409782,2415144
4/23/2016,1238991,1240160,2415144,2417158
4/24/2016,1240160,1241975,2417158,2420872
4/25/2016,1241975,1247516,2421384,2431136
4/26/2016,1247516,1251844,2431814,2439926
4/27/2016,1251844,1256239,2440400,2448284
4/28/2016,1256239,1260566,2449060,2457602
4/29/2016,1260566,1263506,2458096,2463489
4/30/2016,1263506,1264515,2463489,2465712
5/1/2016,1264515,1266095,2465712,2469451
5/2/2016,1266095,1269889,2470030,2477884
5/3/2016,1269889,1272991,2478380,2484722
5/4/2016,1272991,1275182,2485100,2489388
5/5/2016,1275182,1275850,2489388,2490998
5/6/2016,1275850,1276517,2490998,2492300
5/7/2016,,,,
5/8/2016,,,,
5/9/2016,1276517,1277371,2492300,2493466
5/10/2016,1277371,1278105,2493466,2494799
5/11/2016,1278105,1278849,2494799,2496028
5/12/2016,1278849,1279780,2496028,2497566
5/13/2016,1279780,1280409,2497566,2498657
5/14/2016,1280409,1280564,2498657,2498975
5/15/2016,1280564,1280780,2498975,2499334
5/16/2016,1280780,1281802,2499334,2500936
5/17/2016,1281802,1282642,2500936,2502458
5/18/2016,1282642,1283597,2502458,2503964
5/19/2016,1283597,1284436,2503964,2505514
5/20/2016,1284436,1284909,2505514,2506459
5/21/2016,1284909,1285074,2506459,2506758
5/22/2016,1285074,1285312,2506758,2507152
5/23/2016,1285312,1286182,2507152,2508698
5/24/2016,1286182,1287054,2508698,2510028
5/25/2016,1287054,1288180,2510028,2511507
5/26/2016,1288180,1289030,2511507,2512758
5/27/2016,1289030,1289525,2512758,2513555
5/28/2016,1289525,1289531,2513555,2513837
5/29/2016,,,,
5/30/2016,,,,
5/31/2016,1289531,1290740,2513837,2515260
6/1/2016,1290740,1291716,2515260,2516644
6/2/2016,1291716,1292590,2516644,2517878
6/3/2016,1292590,1293236,2517878,2518995
6/4/2016,1293236,1293420,2518995,2519252
6/5/2016,1293420,1293620,2519252,2519594
6/6/2016,1293620,1294626,2519594,2521246
6/7/2016,1294626,1295726,2521246,2522974
6/8/2016,1295726,1296642,2522974,2524378
6/9/2016,1296642,1297552,2524378,2525948
6/10/2016,1297552,1298151,2525948,2527152
6/11/2016,1298151,1298324,2527152,2527399
6/12/2016,1298324,1298592,2527399,2527834
6/13/2016,1298592,1299710,2527834,2529554
6/14/2016,1299710,1300646,2529554,2531646
6/15/2016,1300646,1301808,2531646,2533458
6/16/2016,1301808,1302538,2533458,2535394
6/17/2016,1302538,1303192,2535394,2536528
6/18/2016,1303192,1303361,2536528,2536764
6/19/2016,1303361,1303532,2536764,2537044
6/20/2016,1303532,1304346,2537044,2538758
6/21/2016,1304346,1305280,2538758,2540336
6/22/2016,1305280,1306076,2540336,2541840
